nameID,relatedNameID,type,referenceID,remarks
f,g1,TYPE,,
sfh,g1,TYPE,,
sfp,g6,TYPE,,
g5,501,TYPE,,
g6,603,TYPE,,
g11,1100b,TYPE,,
g12,1200,TYPE,,
g13,1300,TYPE,,
g14,1400,TYPE,,
g15,1500,TYPE,,
g16,1600,TYPE,,
g17,1700,TYPE,,
g18,1800,TYPE,,
g19,1901,TYPE,,
g20,2000,TYPE,,
2100,2101,REPLACEMENT_NAME,Abel1903,
g21,2100,TYPE,,
g22,2200,TYPE,,
g23,2300,TYPE,,
g24,2400,TYPE,,
g25,2500,TYPE,,http://www.fossilworks.org/cgi-bin/bridge.pl?a=taxonInfo&taxon_no=133720
g26,2601,TYPE,,
g2,202,TYPE,Dart1925,
tg,g11,TYPE,,